epoch, wall, LR,training_loss_force_constant,training_loss_e,training_loss,training_f_mae,training_e/N_mae,training_force_constant_mae,validation_loss_force_constant,validation_loss_e,validation_loss,validation_f_mae,validation_e/N_mae,validation_force_constant_mae
         1,  460.913,    0.005,           1687.1,           153.98,           1841.1,        0.348,         8.35,     1.69e+03,           1370.7,           81.408,           1452.1,        0.324,         6.89,     1.37e+03
         2,  874.567,    0.005,           1408.4,           142.63,             1551,        0.335,         7.99,     1.41e+03,           1274.2,           78.079,           1352.3,        0.352,          6.6,     1.27e+03
         3, 1287.032,    0.005,           1289.7,           138.22,           1427.9,        0.301,         7.85,     1.29e+03,           1155.6,            75.57,           1231.2,        0.297,         6.43,     1.16e+03
         4, 1726.929,    0.005,           1235.6,           132.41,             1368,        0.336,         7.66,     1.24e+03,           1115.6,           73.324,           1188.9,        0.323,         6.33,     1.12e+03
         5, 2160.092,    0.005,           1235.7,           126.21,           1361.9,        0.318,          7.5,     1.24e+03,           1109.3,           71.008,           1180.3,        0.317,         6.24,     1.11e+03
         6, 2587.900,    0.005,           1220.6,           117.89,           1338.5,        0.308,         7.22,     1.22e+03,           1082.9,           67.958,           1150.9,        0.313,         6.05,     1.08e+03
         7, 3015.645,    0.005,           1168.3,           107.55,           1275.8,        0.307,         6.79,     1.17e+03,             1060,           63.459,           1123.4,        0.309,          5.6,     1.06e+03
         8, 3445.212,    0.005,           1141.7,           95.356,             1237,        0.304,         6.42,     1.14e+03,           1044.6,           58.596,           1103.2,        0.317,          5.3,     1.04e+03
         9, 3876.410,    0.005,           1137.5,           80.719,           1218.3,        0.288,         6.05,     1.14e+03,           1032.7,           51.985,           1084.7,        0.293,         5.02,     1.03e+03
        10, 4330.286,    0.005,           1135.4,           69.585,             1205,        0.273,         5.71,     1.14e+03,           1023.3,           46.003,           1069.3,        0.273,         4.74,     1.02e+03
        11, 4769.431,    0.005,           1113.2,           56.187,           1169.4,        0.268,         5.24,     1.11e+03,           1011.7,           39.125,           1050.8,        0.259,         4.37,     1.01e+03
        12, 5228.836,    0.005,           1096.7,           47.079,           1143.8,        0.241,         4.78,      1.1e+03,           1002.5,           32.856,           1035.4,        0.244,         4.01,        1e+03
        13, 5702.066,    0.005,             1084,           35.613,           1119.6,        0.242,         4.25,     1.08e+03,           995.11,           26.184,           1021.3,        0.239,         3.56,          995
        14, 6168.146,    0.005,           1122.7,           28.658,           1151.4,        0.234,         3.66,     1.12e+03,           991.14,           19.905,             1011,        0.232,         3.12,          991
        15, 6606.984,    0.005,           1058.3,           20.726,           1079.1,        0.238,         3.25,     1.06e+03,           979.96,           15.352,           995.31,        0.229,         2.74,          980
        16, 7054.846,    0.005,           1055.2,           13.467,           1068.7,        0.218,         2.58,     1.06e+03,           976.89,           10.233,           987.12,        0.213,         2.23,          977
        17, 7499.123,    0.005,           1048.2,           8.7433,           1056.9,         0.22,         2.12,     1.05e+03,           969.22,           6.7198,           975.94,         0.21,          1.8,          969
        18, 7946.232,    0.005,           1033.7,           6.3174,             1040,        0.208,         1.76,     1.03e+03,           957.08,           4.8046,           961.89,        0.207,         1.52,          957
        19, 8388.679,    0.005,           1050.9,           4.3355,           1055.3,        0.221,         1.49,     1.05e+03,           958.13,           3.4014,           961.53,        0.207,         1.28,          958
        20, 8869.295,    0.005,             1030,           3.4908,           1033.5,        0.206,         1.35,     1.03e+03,           951.13,           2.6416,           953.77,        0.209,         1.13,          951
        21, 9321.343,    0.005,           1021.2,           2.6518,           1023.9,        0.201,         1.16,     1.02e+03,           943.91,           1.9849,            945.9,        0.203,        0.982,          944
        22, 9807.997,    0.005,           1034.6,           2.2934,           1036.9,        0.201,         1.07,     1.03e+03,           944.18,           1.6913,           945.87,        0.187,        0.906,          944
        23, 10265.402,    0.005,           1008.7,           1.9738,           1010.7,          0.2,         1.02,     1.01e+03,           936.08,           1.5296,           937.61,        0.194,        0.857,          936
        24, 10696.493,    0.005,           986.95,           1.4822,           988.43,        0.199,         0.86,          987,           929.97,           1.0988,           931.07,        0.193,        0.727,          930
        25, 11124.610,    0.005,           989.22,           1.2267,           990.44,        0.198,        0.801,          989,           929.31,          0.99469,           930.31,        0.191,        0.691,          929
        26, 11571.788,    0.005,           986.11,           1.0514,           987.16,        0.194,        0.754,          986,           925.53,          0.82914,           926.36,        0.187,        0.623,          926
        27, 11999.911,    0.005,           991.68,           1.0826,           992.76,        0.193,        0.739,          992,           922.63,          0.80095,           923.43,        0.183,        0.613,          923
        28, 12422.016,    0.005,           976.34,           1.0628,           977.41,        0.189,         0.73,          976,           915.63,          0.76032,            916.4,        0.185,        0.601,          916
        29, 12869.942,    0.005,           999.31,          0.90276,           1000.2,        0.197,        0.691,          999,           915.79,          0.75905,           916.55,        0.187,        0.601,          916
        30, 13321.979,    0.005,           964.75,           1.0416,           965.79,        0.203,        0.742,          965,            912.2,           0.7676,           912.96,        0.185,          0.6,          912
        31, 13765.191,    0.005,           947.22,          0.89445,           948.11,         0.19,        0.686,          947,           908.09,          0.68577,           908.78,        0.179,        0.566,          908
        32, 14182.128,    0.005,           945.48,          0.73425,           946.22,        0.184,        0.607,          945,            903.5,          0.55681,           904.06,        0.179,        0.512,          904
        33, 14649.765,    0.005,            951.6,           0.6238,           952.22,        0.183,         0.58,          952,           900.98,          0.52594,            901.5,        0.172,        0.501,          901
        34, 15115.328,    0.005,           936.62,          0.69646,           937.32,         0.19,        0.592,          937,           897.98,          0.47713,           898.46,        0.172,        0.486,          898
        35, 15540.559,    0.005,            965.2,          0.72396,           965.92,        0.178,        0.603,          965,           895.93,          0.54501,           896.47,        0.164,        0.505,          896
        36, 15965.950,    0.005,           952.39,          0.85943,           953.25,        0.188,        0.648,          952,           894.13,          0.58009,           894.71,        0.175,        0.523,          894
        37, 16465.594,    0.005,           953.87,          0.72528,            954.6,        0.185,        0.608,          954,           894.92,           0.5709,           895.49,        0.178,        0.515,          895
        38, 16883.594,    0.005,              926,           0.6211,           926.62,        0.181,        0.559,          926,           888.91,          0.48066,           889.39,        0.178,         0.47,          889
        39, 17316.143,    0.005,           928.35,          0.54621,            928.9,        0.178,        0.533,          928,           884.01,          0.43338,           884.45,        0.178,        0.453,          884
        40, 17730.545,    0.005,            925.2,          0.49909,            925.7,        0.182,        0.511,          925,           882.68,          0.39387,           883.08,        0.173,        0.433,          883
        41, 18151.761,    0.005,           926.68,          0.59952,           927.28,        0.177,        0.554,          927,           879.42,          0.41977,           879.84,        0.169,        0.444,          879
        42, 18768.227,    0.005,           907.76,          0.42532,           908.19,        0.181,        0.478,          908,           878.33,          0.37171,            878.7,        0.174,        0.416,          878
        43, 19233.935,    0.005,           911.74,          0.52988,           912.27,        0.179,        0.498,          912,           876.02,          0.34689,           876.37,        0.171,        0.399,          876
        44, 19688.991,    0.005,           922.27,          0.53941,           922.81,        0.185,        0.511,          922,           873.78,          0.39071,           874.17,        0.172,        0.425,          874
        45, 20175.163,    0.005,           904.28,          0.56608,           904.85,        0.182,         0.53,          904,           871.73,          0.39869,           872.13,         0.17,        0.438,          872
        46, 20618.304,    0.005,           898.18,          0.40183,           898.58,        0.179,        0.468,          898,           870.21,          0.34407,           870.56,        0.173,        0.399,          870
        47, 21106.347,    0.005,           891.11,          0.41585,           891.52,        0.176,         0.47,          891,           867.06,          0.32455,           867.38,        0.166,        0.386,          867
        48, 21569.325,    0.005,           909.21,          0.38742,            909.6,        0.174,        0.447,          909,           866.22,          0.30624,           866.52,        0.161,        0.386,          866
        49, 22010.934,    0.005,           891.65,          0.41969,           892.07,        0.176,        0.473,          892,           863.08,          0.32851,            863.4,        0.164,        0.395,          863
        50, 22498.643,    0.005,           876.72,          0.35066,           877.07,        0.174,        0.439,          877,           859.78,          0.29421,           860.08,        0.166,        0.368,          860
        51, 22981.161,    0.005,           884.58,           0.3125,           884.89,        0.175,        0.411,          885,           859.96,          0.27391,           860.24,        0.165,        0.353,          860
        52, 23402.871,    0.005,           895.23,          0.38957,           895.61,        0.174,         0.45,          895,           862.26,          0.29297,           862.55,        0.165,        0.366,          862
        53, 23848.822,    0.005,           887.36,          0.36917,           887.73,        0.177,        0.443,          887,           858.22,          0.29242,           858.51,        0.168,        0.375,          858
        54, 24287.235,    0.005,           892.22,           0.4249,           892.64,        0.179,        0.471,          892,           858.49,          0.32155,           858.82,        0.172,        0.395,          858
        55, 24792.761,    0.005,           878.93,          0.33009,           879.26,        0.174,        0.411,          879,           857.97,          0.27708,           858.24,         0.17,        0.359,          858
        56, 25287.493,    0.005,           887.21,          0.39632,           887.61,        0.176,        0.456,          887,           854.75,          0.27785,           855.03,        0.164,        0.361,          855
        57, 25732.109,    0.005,              899,           0.3779,           899.38,        0.174,        0.443,          899,           853.87,          0.28739,           854.16,        0.163,        0.365,          854
        58, 26166.867,    0.005,           878.91,          0.36354,           879.27,         0.18,        0.428,          879,           850.62,           0.2663,           850.89,        0.169,        0.352,          851
        59, 26590.792,    0.005,           882.39,          0.33161,           882.73,        0.173,        0.419,          882,           851.83,           0.2771,           852.11,         0.17,        0.358,          852
        60, 27026.125,    0.005,           876.85,          0.38791,           877.24,        0.175,        0.452,          877,           852.41,          0.31566,           852.72,        0.164,        0.383,          852
        61, 27476.111,    0.005,           864.72,          0.36485,           865.09,        0.175,        0.429,          865,           851.93,           0.2798,           852.21,        0.167,        0.363,          852
        62, 27908.196,    0.005,           882.05,          0.42125,           882.47,        0.173,        0.468,          882,              849,          0.31887,           849.32,        0.166,        0.388,          849
        63, 28349.187,    0.005,           862.58,          0.30549,           862.88,        0.174,        0.401,          863,           848.76,          0.24307,              849,        0.167,        0.339,          849
        64, 28789.475,    0.005,           895.13,          0.36606,            895.5,        0.178,        0.433,          895,           846.93,           0.2779,           847.21,        0.168,        0.361,          847
        65, 29243.228,    0.005,           854.89,           0.3691,           855.26,        0.176,        0.433,          855,           846.55,          0.25526,            846.8,        0.168,        0.348,          847
        66, 29697.845,    0.005,           857.95,          0.32192,           858.27,        0.171,        0.412,          858,           842.77,          0.24327,           843.01,        0.164,        0.345,          843
        67, 30149.523,    0.005,            871.1,          0.26961,           871.37,        0.176,        0.381,          871,           845.44,            0.233,           845.67,        0.169,        0.334,          845
